12:49:06:508 [ALWAYS]	GUDE Logging Started
12:49:06:508 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
12:49:06:508 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
12:49:06:508 [ERROR]	Initialize resume cache pointer failure
12:49:06:509 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
12:49:06:509 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
12:49:09:876 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
12:49:09:876 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
12:49:09:876 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
12:49:09:876 [ERROR]	Initialize resume cache pointer failure
12:49:09:876 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
12:49:09:876 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
